id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_creative_commons,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
248,Loving Cauliflower Soup,Soups and Stews Recipes,10.0,,10.0,,Easy,6.0,4.0,1.0,7.0,4.0,,,,,,,cups vegetable stock,"pound cauliflower, trimmed and chopped",ounces cream cheese,ounces butter,Salt and pepper to taste,,,,,,Take a skillet and place it over medium heat,Add butter and melt,Add cauliflower and Saute for 2 minutes,Add stock and bring mix to a boil,Cook until Cauliflower are Al-Dente,"Stir in cream cheese, salt and pepper",Puree the mix using immersion blender,Serve and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Loving_Cauliflower_Soup-Loving_Cauliflower_Soup.jpg,True,143.0,16.0,6.0,3.4
249,Pork Sausage And Pepper Stew,Soups and Stews Recipes,10.0,,45.0,,Medium,2.0,32.0,1.0,10.0,1.0,1.0,4.0,1.0,1.0,1.0,0.75,ounce Pork sausages,tablespoon olive oil,ounce raw spinach,medium Green Bell Pepper,can jalapenos with tomaotes,cup beef stock,tablespoon of chili powder,tablespoon of cumin,teaspoon of garlic powder and italian seasoning,teaspoon of salt,Take a large sized pot and place it over medium heat,Add olive oil and allow the oil to heat up,Add sausages and cook until seared all around,Slice the green pepper into small pieces and add to the pot,Season with pepper and salt,Add tomatoes and jalapenos and stir,"Add spinach on top and cover with lid, wait until the spinach has wilted",Add the remaining spice and broth,Allow it to cook for 30 minutes over medium-low heat,Remove the lid and simmer for 15 minutes. Serve and enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Pork_Sausage_And_Pepper_Stew-Pork_Sausage_And_Pepper_Stew.jpg,True,525.0,4.0,2.0,27.0
250,Simple Garlic And Lemon Soup,Soups and Stews Recipes,10.0,,,,Easy,3.0,1.0,1.0,2.0,1.5,1.0,,0.5,0.5,,,"avocado, pitted and chopped","cucumber, chopped",bunches spinach,"cups watermelon, chopped","bunch cilantro, roughly chopped",Juice from 2 lemons,cup coconut aminos,cup lime juice,,,"Add cucumber, avocado to your blender and pulse well","Add cilantro, spinach and watermelon and blend","Add lemon, lime juice and coconut amino",Pulse few more times,Transfer to soup bowl and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Simple_Garlic_And_Lemon_Soup-Simple_Garlic_And_Lemon_Soup.jpg,True,100.0,7.0,6.0,3.0
251,Cheese Dredged Shrimp Soup,Soups and Stews Recipes,10.0,,30.0,,Medium,4.0,24.0,8.0,2.0,32.0,1.0,0.5,,,,,ounces extra small shrimp,"ounces cheddar cheese, shredded","cups mushrooms, sliced",ounces chicken broth,cup heavy whipping cream,cup butter,,,,,"Add mushrooms, chicken broth to a soup pot and bring to a boil over high heat","Lower heat to medium and add cream, butter and cheese",Stir until cheese melts,Lower heat to low,Cook the shrimp as directed and add them to the soup pot,Stir and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cheese_Dredged_Shrimp_Soup-Cheese_Dredged_Shrimp_Soup.jpg,True,451.0,33.0,3.0,29.0
252,Elegant Pumpkin Chili Dish,Soups and Stews Recipes,10.0,,15.0,,Medium,4.0,3.0,8.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,,"cups yellow onion, chopped","garlic cloves, chopped","pound turkey, ground",cans (15 ounces each) fire roasted tomatoes,cups pumpkin puree,cup chicken broth,teaspoons chili spice,teaspoon ground cinnamon,teaspoon sea salt,,Take a large sized pot and place it over medium-high heat,Add coconut oil and let the oil heat up,"Add onion and garlic, Saute for 5 minutes","Add ground turkey and break it while cooking, cook for 5 minutes",Add remaining ingredients and bring the mix to simmer,Simmer for 15 minutes over low heat (lid off),Pour chicken broth,Serve with desired salad,Enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Elegant_Pumpkin_Chili_Dish-Elegant_Pumpkin_Chili_Dish.jpg,True,312.0,16.0,14.0,27.0
253,Clean Chicken And Mushroom Stew,Soups and Stews Recipes,10.0,,35.0,,m,4.0,4.0,1.0,1.0,4.0,1.0,,,,,,"chicken breast halves, cut into bite sized pieces","pound mushrooms, sliced (5-6 cups)","bunch spring onion, chopped",tablespoons olive oil,teaspoon thyme,Salt and pepper as needed,,,,,Take a large deep frying pan and place it over medium-high heat,Add oil and let it heat up,Add chicken and cook for 4-5 minutes per side until slightly browned,"Add spring onions and mushrooms, season with salt and pepper according to your  taste",Stir,Cover with lid and bring the mix to a boil,Lower heat and simmer for 25 minutes,Serve!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Clean_Chicken_And_Mushroom_Stew-Clean_Chicken_And_Mushroom_Stew.jpg,True,247.0,12.0,10.0,23.0
254,Hearty Keto Chicken And Egg Soup,Soups and Stews Recipes,5.0,,10.0,,Easy,2.0,1.5,2.0,1.0,1.0,0.5,,,,,,cup chicken broth,whole eggs,teaspoon chili garlic paste,tablespoon bacon grease,"a cube, chicken bouillon",,,,,,Take a stove top pan and place it over medium-high heat,"Add chicken broth, bouillon cube, bacon grease and stir",Bring the mix to a boil,Mix in chili garlic paste,"Take a bowl and whisk in eggs, add whisked egg to the pan",Lower down heat and gently simmer for a few minutes,Serve and enjoy!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Hearty_Keto_Chicken_And_Egg_Soup-Hearty_Keto_Chicken_And_Egg_Soup.jpg,True,280.0,25.0,3.0,14.0
255,Ingenious Eggplant Soup,Soups and Stews Recipes,20.0,,15.0,,Easy,8.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5,,,,"large eggplant, washed and cubed","tomato, seeded and chopped","small onion, diced","tablespoons parsley, chopped",tablespoons extra virgin olive oil,tablespoons distilled white vinegar,"cup parmesan cheese, crumbled",Salt as needed,,,Pre-heat your outdoor grill to medium-high,Pierce the eggplant a few times using a knife/fork,Cook the eggplants on your grill for about 15 minutes until they are charred,Keep it on the side and allow them to cool,Remove the skin from the eggplant and dice the pulp,"Transfer the pulp to mixing bowl and add parsley, onion, tomato, olive oil, feta  cheese and vinegar",Mix well and chill for 1 hour,Season with salt and enjoy,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Ingenious_Eggplant_Soup-Ingenious_Eggplant_Soup.jpg,True,99.0,7.0,7.0,3.4
256,Amazing Roasted Carrot Soup,Soups and Stews Recipes,10.0,,50.0,,Easy,4.0,8.0,6.0,1.0,,,,,,,,"large carrot,s washed and peeled",tablespoons olive oil,quart broth,Cayenne pepper to taste,Salt and pepper to taste,,,,,,Pre-heat your oven to 425 degree F,"Take a baking sheet and add carrots, drizzle olive oil and roast for 30-45 minutes","Put roasted carrots into blender and add broth, puree",Pour into saucepan and heat soup,"Season with salt, pepper and cayenne",Drizzle olive oil,Serve and enjoy,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Amazing_Roasted_Carrot_Soup-Amazing_Roasted_Carrot_Soup.jpg,True,222.0,18.0,7.0,5.0
257,The Brussels’s Fever,Soups and Stews Recipes,10.0,,20.0,,Easy,4.0,2.0,1.0,2.0,4.0,0.25,,,,,,tablespoons olive oil,"yellow onion, chopped","pounds Brussels sprouts, trimmed and halved",cups chicken stock,cup coconut cream,,,,,,Take a pot and place it over medium heat,Add oil and let it heat up,Add onion and stir cook for 3 minutes,"Add Brussels sprouts and stir, cook for 2 minutes","Add stock and black pepper, stir and bring to a simmer",Cook for 20 minutes more,Use an immersion blender to make the soup creamy,Add coconut cream and stir well,Ladle into soup bowls and serve,Enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Brusselss_Fever-The_Brusselss_Fever.jpg,True,200.0,11.0,6.0,11.0
258,Curious Roasted Garlic Soup,Soups and Stews Recipes,10.0,,60.0,,Easy,10.0,1.0,2.0,3.0,1.0,6.0,,,,,,tablespoons olive oil,"bulbs garlic, peeled","shallots, chopped","large head cauliflower, chopped",cups vegetable broth,Salt and pepper to taste,,,,,Pre-heat your oven to 400 degree F,Slice ¼ inch top of garlic bulb and place it in an aluminum foil,Grease with olive oil and roast in oven for 35 minutes,Squeeze flesh out of the roasted garlic,"Heat oil in saucepan and add shallots, Saute for 6 minutes",Add garlic and remaining ingredients,Cover pan and lower down heat to low,Let it cook for 15-20 minutes,Use an immersion blender to puree the mixture,Season soup with salt and pepper. Serve and enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Curious_Roasted_Garlic_Soup-Curious_Roasted_Garlic_Soup.jpg,True,142.0,8.0,3.4,4.0
259,Beef And Onion Stew,Soups and Stews Recipes,10.0,,120.0,,Medium,4.0,2.0,3.0,5.0,3.0,1.0,0.25,3.0,1.0,,,"pounds lean beef, cubed","pounds shallots, peeled","garlic cloves, peeled, whole",tablespoons tomato paste,bay leaves,cup olive oil,tablespoons lemon juice,teaspoon salt,,,Take a stew pot and place it over medium heat,Add olive oil and let it heat up,Add meat and brown,Add remaining ingredients and cover with water,Bring the whole mix to a boil,Lower heat to low and cover the pot,Simmer for 1-2 hours until beef is cooked thoroughly,Serve hot!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Beef_And_Onion_Stew-Beef_And_Onion_Stew.jpg,True,136.0,3.0,0.9,24.0
260,Healthy Cucumber Soup,Soups and Stews Recipes,14.0,,,,Easy,4.0,2.0,4.0,0.5,1.0,1.5,0.5,0.25,0.25,0.5,,"tablespoons garlic, minced","cups english cucumbers, peeled and diced","cup onions, diced",tablespoon lemon juice,cups vegetable broth,teaspoon salt,teaspoon red pepper flakes,"cup parsley, diced","cup Greek yogurt, plain",,Add the listed ingredients to blender and emulsify by blend them (except ½ cup of  chopped cucumbers),Blend until smooth,Divide the soup amongst 4 servings and top with extra cucumbers and chili/pepper  flakes if you want,Enjoy chilled!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Healthy_Cucumber_Soup-Healthy_Cucumber_Soup.jpg,True,371.0,36.0,8.0,4.0
261,Dreamy Zucchini Bowl,Soups and Stews Recipes,10.0,,20.0,,Easy,4.0,1.0,3.0,2.0,2.0,4.0,2.0,,,,,"onion, chopped","zucchinis, cut into medium chunks",tablespoons coconut milk,"garlic cloves, minced",cups chicken stock,tablespoons coconut oil,Pinch of salt,Black pepper to taste,,,Take a pot and place it over medium heat,Add oil and let it heat up,"Add zucchini, garlic, onion and stir",Cook for 5 minutes,"Add stock, salt, pepper and stir",Bring to a boil and lower down heat,Simmer for 20 minutes Remove heat and add coconut milk,Use an immersion blender until smooth,Ladle into soup bowls and serve,Enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Dreamy_Zucchini_Bowl-Dreamy_Zucchini_Bowl.jpg,True,160.0,2.0,4.0,7.0
262,Wild Mushroom Soup,Soups and Stews Recipes,10.0,,30.0,,Easy,4.0,10.0,0.25,1.0,5.0,0.5,,,,,,oz of wild mushrooms,cup salted butter,"tbsp of garlic, minced",cups of vegetable broth,cup of fresh cream,,,,,,Heat a pan with the butter and saute the mushrooms with the garlic for 3-4 minutes.,Transfer to a large saucepan and add the vegetable broth. Bring to a boil and  reduce the heat to simmer for 20 minutes.,Add the creme fresh towards the last two minutes of cooking,Let the soup cool for 5 minutes and using an immersion blender blend until the soup  is silky smooth with no visible parts of mushrooms. You should end up with a grayishbrown sort of color.,"Transfer into soup bowls and add extra doses of cream or parsley on top  optionally, for garnish",,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Wild_Mushroom_Soup-Wild_Mushroom_Soup.jpg,True,281.0,24.0,10.0,7.0
263,Pumpkin And Coconut Cream Soup,Soups and Stews Recipes,10.0,,50.0,,Easy,4.0,2.0,2.0,1.0,1.0,1.0,,,,,,cups of pumpkin chunks,cups of vegetable stock,cup of coconut cream,tbsp of butter,tsp of ginger powder,,,,,,Heat a cooking pot and add the butter and the pumpkin chunks. Saute for 3-4  minutes.,Add the vegetable stock and the ginger powder and bring to a boil. Reduce the heat to  simmer for 20-25 minutes,Add the coconut cream last and cook for another 2-3 minutes,Blend the soup with an immersion blender until creamy smooth. Serve with a  drizzle of coconut cream (optionally) on top,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Pumpkin_And_Coconut_Cream_Soup-Pumpkin_And_Coconut_Cream_Soup.jpg,True,234.0,21.0,10.0,2.3
264,Fish Packed White Chowder,Soups and Stews Recipes,10.0,,,,Easy,4.0,2.0,0.5,1.0,0.75,1.0,,,,,,"teaspoons butter, at room temperature","white onion, chopped",tablespoon Old Bay seasoning,"pound sea bass, broken into chunks",cup double cream,,,,,,"Melt the butter in a soup pot over a moderate flame. Now, sweat the white onion until  tender and translucent.","Then, add in the Old Bay seasoning and 3 cups of water; bring to a rapid boil. Reduce  the heat to medium-low and let it simmer, covered, for 9 to 12 minutes.",Fold in the sea bass and double cream; continue to cook until everything is  thoroughly heated or about 5 minutes. Serve warm and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Fish_Packed_White_Chowder-Fish_Packed_White_Chowder.jpg,True,257.0,4.0,12.0,0.4
265,Awesome Fish Curry,Soups and Stews Recipes,10.0,,,,Medium,4.0,1.0,1.0,1.0,1.0,0.75,,,,,,"tablespoon butter, at room temperature","shallot, chopped",teaspoon curry paste,"cup tomatoes, pureed","pound sole fillets, cut into 1-inch pieces",,,,,,Melt the butter in a stockpot over a medium-high flame. Sauté the shallot until  softened.,Add the curry paste and pureed tomatoes along with 2 cups of water to the pot; bring  to a rolling boil.,"Immediately reduce the heat to medium-low and continue to simmer, covered, for 12  minutes longer; make sure to stir periodically",Fold in the chopped sole fillets; continue to cook for a further 8 minutes or until the  fish flakes easily with a fork. Enjoy,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Awesome_Fish_Curry-Awesome_Fish_Curry.jpg,True,200.0,10.0,23.0,1.0
266,Honorable Mahi Mahi Stew,Soups and Stews Recipes,10.0,,0.0,,Medium,4.0,1.5,0.75,0.5,,0.75,,,,,,tablespoons butter,pound cubed Mahi Mahi fillets,chopped onion,Salt & Black pepper,cup homemade fish broth,,,,,,Sprinkle the Mahi Mahi fillets with some seasonings.,"Put the butter in a pressure cooker to melt, then add the onions","Cook the onions for 3 minutes, then add the fish broth and mahi-mahi fillets",Cook for 30 minutes with the lid sealed at high pressure,Release the pressure naturally.,Serve!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Honorable_Mahi_Mahi_Stew-Honorable_Mahi_Mahi_Stew.jpg,True,253.0,10.0,2.0,34.0
267,Hearty Crab Soup,Soups and Stews Recipes,20.0,,420.0,,Medium,4.0,1.0,1.0,,3.0,1.0,,,,,,"cup crab meat, cubed","tablespoon garlic, minced",Red chili flakes as needed,cups vegetable broth,teaspoon salt,,,,,,Coat the crab cubes in lime juice and let them sit for a while,Add the all ingredients (including marinated crab meat) to your Slow Cooker and put  the lid,Cook on MEDIUM for 3 hours,Let it sit for a while,Remove lid and simmer the soup for 5 minutes more on LOW,Stir and check to season,Enjoy!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Hearty_Crab_Soup-Hearty_Crab_Soup.jpg,True,201.0,11.0,12.0,13.0
268,Mexican Chicken Soup,Soups and Stews Recipes,10.0,,5.0,,Easy,4.0,1.5,8.0,2.0,15.0,,,,,,,"pounds chicken pieces, boneless, skinless","ounces Pepper Jack cheese, cubed",cups chicken broth,ounces chunky salsa,,,,,,,Take a crockpot and put the chicken pieces on the bottom of it.,Add the remaining ingredients.,Cook for 8 hours on low.,"Remove chicken pieces and shred, return to the pot.",Serve hot and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Mexican_Chicken_Soup-Mexican_Chicken_Soup.jpg,True,400.0,23.0,7.0,38.0
269,Delicious Turkey Stew,Soups and Stews Recipes,10.0,,25.0,,Easy,12.0,15.0,2.0,14.0,3.0,,,,,,,"ounces can eat vegetables, mixed","cups turkey, cooked and cubed",ounces can chicken broth,tablespoon butter,,,,,,,Take a saucepan and put all the ingredients into it.,Bring it to a boil.,Reduce the heat to low.,Simmer for about 25 minutes.,Dish out and serve hot.,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Delicious_Turkey_Stew-Delicious_Turkey_Stew.jpg,True,143.0,6.0,4.0,16.0
270,"Turkey, Kale And Sausage Delight",Soups and Stews Recipes,10.0,,40.0,,Medium,4.0,1.0,2.0,4.0,1.0,4.0,,,,,,"broccoli head, cut into florets","cloves garlic, chopped",cups vegetable broth,cup heavy cream,"slices beef bacon, chopped",,,,,,Take a stockpot and add all the ingredients except salt and black pepper into it.,Let it bring to a boil.,Reduce heat to simmer,Cook for 40 minutes.,"Warm the heavy cream, and then add to the soup.",Season with salt and black pepper.,Serve and enjoy!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Turkey_Kale_And_Sausage_Delight-Turkey_Kale_And_Sausage_Delight.jpg,True,175.0,14.0,3.0,9.0
271,Awesome Egg Drop Soup,Soups and Stews Recipes,10.0,,10.0,,Easy,4.0,0.5,1.0,0.5,0.5,0.25,,,,,,"cup chicken breast, cooked, boneless, and skinless","egg, lightly beaten",teaspoon coconut aminos + 4 cups low sodium chicken broth,"cup green beans, frozen","cup green onion, sliced",,,,,,Add chicken stock and soy sauce to a saucepan.,Place it over medium heat.,"Bring the mix to a boil and add green onions, peas, and chicken.",Stir it and bring the mix to boil once again.,Remove the heat and slowly drizzle in the egg.,Set it aside for a few minutes.,"Stir and transfer into a serving bowl, then ladle the soup",Serve and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Awesome_Egg_Drop_Soup-Awesome_Egg_Drop_Soup.jpg,True,118.0,4.0,8.0,14.0
272,Cheesy Broccoli Soup,Soups and Stews Recipes,10.0,,30.0,,Easy,4.0,3.0,10.0,2.0,1.0,,,,,,,cans of 14 and ½ ounces chicken broth,ounce Velveeta low-fat cheese,bag frozen broccoli,can of 10 and ½ ounce tomatoes and green chili pepper,,,,,,,"Add frozen broccoli, tomatoes, broth, and chili to a pot.",Mix them well and place the pot over medium heat,Bring it to a boil.,Then reduce the heat and simmer for 25 minutes.,Add cubed Velveeta into the soup.,Simmer until the cheese melts.,Serve hot and enjoy!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cheesy_Broccoli_Soup-Cheesy_Broccoli_Soup.jpg,True,112.0,4.0,11.0,9.0
273,Chicken Liver Stew,Soups and Stews Recipes,10.0,,20.0,,Medium,4.0,10.0,2.0,,1.0,1.0,,,,,,ounces chicken livers,ounces sour cream,"Salt, to taste","ounce onion, chopped",tablespoon olive oil,,,,,,Place a pan over medium heat.,Add oil and let it heat up.,Add onions and fry until it turns brown.,Put livers and season with salt.,Cook till the livers become half-cooked.,Take a stew pot and transfer the mix.,Add sour cream and cook for 20 minutes.,Serve hot and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Chicken_Liver_Stew-Chicken_Liver_Stew.jpg,True,139.0,9.0,2.0,15.0
